Approval Year,Member,Sector,Financing Type,Project Name,Financing Amount,Status
2020,Bangladesh,Water,Sovereign,"Bangladesh: Rural Water, Sanitation and Hygiene for Human Capital Development Project",Approved Financing: USD200 million,Approved
2024,Bangladesh,Energy,Sovereign,Bangladesh: Southern Chattogram and Kaliakoir Transmission Infrastructure Development Project,Approved Financing: USD160 million,Approved
2020,Bangladesh,Transport,Sovereign,Bangladesh: Sylhet to Tamabil Road Upgrade Project,Approved Financing: USD404 million,Approved
2020,Cambodia,CRF-Economic Resilience/PBF,Sovereign,Cambodia: National Restoration of Rural Productive Capacity Project,Approved Financing: USD60 million,Approved
2023,China,Transport,Sovereign,China: Yunnan Kunming Changshui Airport Expansion and Green Development Project,Approved Financing: USD500 million,Approved
2022,Egypt,Transport,Sovereign,Egypt: Alexandria – Abou Qir Metro Line,Approved Financing: EUR250 million,Approved
2017,Georgia,Transport,Sovereign,Georgia: Batumi Bypass Road,Approved Financing: USD114 million,Approved
2018,India,Transport,Sovereign,India: Andhra Pradesh Rural Roads,Approved Financing: USD455 million,Approved
2021,India,Urban,Sovereign,India: Kerala Solid Waste Management Project,Approved Financing: USD105 million,Approved
2023,Jordan,CRF-Economic Resilience/PBF,Sovereign,"Jordan: Additional Financing for Inclusive, Transparent and Climate Responsive Investments Program",Approved Financing: USD200 million,Approved
2021,Jordan,CRF-Economic Resilience/PBF,Sovereign,Jordan: Inclusive Transparent and Climate Responsive Investments Program for Results (the Program or PforR),Approved Financing: USD250 million,Approved
2024,Philippines,Transport,Sovereign,Philippines: Facility for Accelerating Studies for Infrastructure (FAST-Infra),Approved Financing: USD44 million,Approved
2024,Philippines,Transport,Sovereign,Philippines: Laguna Lakeshore Road Network (Phase 1) Project,Approved Financing: USD188.18 million,Approved
2017,Tajikistan,Energy,Sovereign,"Tajikistan: Nurek Hydropower Rehabilitation, Phase I",Approved Financing: USD60 million,Approved
2024,Türkiye,Transport,Sovereign,Türkiye: Eastern Türkiye Middle Corridor Railway Development Project,Approved Financing: USD250 million,Approved
2023,Türkiye,Multi-sector,Sovereign,Türkiye: Turk Eximbank Green Infrastructure Support Project (Component A of the previously Türkiye: Turk Eximbank Green Infrastructure Support and Earthquake Response Project),Approved Financing: USD200 million,Approved
2024,Uzbekistan,Other,Sovereign,"Uzbekistan: Accelerating the Uzbekistan Climate Transition for Green, Inclusive, and Resilient Economic Growth (Subprogram 1)",Approved Financing: USD250 million,Approved
2022,Uzbekistan,Water,Sovereign,Uzbekistan: Bukhara Region Water Supply and Sewerage Phase II (BRWSSP II),Approved Financing: USD248.4 million,Approved
2020,Uzbekistan,Transport,Sovereign,Uzbekistan: Bukhara Road Network Improvement Project (Phase 1),Approved Financing: USD165.5 million,Approved
2023,Egypt,Transport,Nonsovereign,Egypt: Damietta Port - Container Terminal II,Approved Financing: USD100 million,Approved
2024,Multicountry,Energy,Nonsovereign,Multicountry: ENGIE Sustainability Linked Green Loan,Approved Financing: EUR75 million,Approved
2019,Kazakhstan,Energy,Nonsovereign,Kazakhstan: Zhanatas 100 MW Wind Power Plant,Approved Financing: USD46.7 million,Approved
-,Uzbekistan,Transport,Sovereign,Uzbekistan: Bukhara Road Network Improvement Project Phase 2,Proposed Funding: USD150 million,Proposed
2022,Brazil,Multi-sector,Nonsovereign,Brazil: BDMG Renewables and Asia Connectivity Facility,Approved Financing:,Approved
2022,China,Multi-sector,Nonsovereign,China: Haier Social Infrastructure Leasing,Approved Financing: USD100 million,Approved
2021,Türkiye,Urban,Nonsovereign,Türkiye: Istanbul Waste to Energy Generation Project (Previously: Construction and Operation of a Waste Incineration and Energy Generation Plant),Approved Financing: EUR 100 million,Approved
2021,Türkiye,CRF- Finance/Liquidity,Nonsovereign,Türkiye: Türkiye Isbank COVID-19 Credit Line Project,Approved Financing: USD100 million,Approved
2021,Georgia,CRF- Finance/Liquidity,Nonsovereign,Georgia: TBC Bank COVID-19 Credit Line Project,Approved Financing: USD100 million,Approved
2025,Kazakhstan,Transport,Sovereign,Kazakhstan: Reconstruction of M-32 Highway Aktobe-Karabutak- Ulgaisyn Section Project,Approved Financing: USD450 Million,Approved
2025,India,Energy,Nonsovereign,India: ReNew Peak Power Project,Approved Financing: USD100 million,Approved
2025,Uzbekistan,Multi-sector,Sovereign,Uzbekistan: Uzbekistan Green and Resilient Market Economy Program,Approved Financing: USD500 million,Approved
2025,Uzbekistan,Energy,Nonsovereign,Uzbekistan: CEEC Uzbekistan BESS Green Loan,Approved Financing: USD150 million,Approved
2024,Thailand,Energy,Nonsovereign,Thailand: GULF Renewable Power Project,Approved Financing: USD170 million,Approved
2023,Georgia,Energy,Nonsovereign,Georgia: Georgia Capital Sustainability Linked Financing Facility,Approved Financing: USD30 million,Approved
2024,Türkiye,Transport,Nonsovereign,Türkiye: North Marmara Highway - Nakkaş-Başakşehir BOT Project,Approved Financing: EUR150 million,Approved
2023,India,Transport,Nonsovereign,India: Sustainable Transport Financing,Approved Financing: USD100 million,Approved
2025,Türkiye,Transport,Nonsovereign,Türkiye: Antalya Airport Expansion Project (Long Term Facility),Approved Financing: EUR202.5 million,Approved
-,Brazil,Energy,Nonsovereign,Brazil: Project HEFACo,Proposed Funding: USD100 million,Proposed
2025,Indonesia,Health Infrastructure,Sovereign,RSAB Harapan Kita Construction and Integration of Three Diamond Hospitals Project,Approved Financing: USD226.4 million,Approved
2025,Pakistan,Transport,Sovereign,"Pakistan: Reconstruction of National Highway N-5 under Pakistan’s Resilient Recovery, Rehabilitation and Reconstruction Framework Project",Approved Financing: USD500 million,Approved
2019,Sri Lanka,Urban,Sovereign,Sri Lanka: Support to Colombo Urban Regeneration Project,Approved Financing: USD200 million,Approved
2025,India,Transport,Nonsovereign,India: Electric Mobility Financing Project,Approved Financing: USD49 Million,Approved
2024,Kazakhstan,Health Infrastructure,Nonsovereign,Kazakhstan: Kokshetau PPP Hospital Project,Approved Financing: USD113.90 million,Approved
2022,Lao PDR,Energy,Nonsovereign,Lao PDR: Monsoon 600 MW Cross- border Wind Power Project,Approved Financing: USD150 million,Approved
2025,Georgia,Health Infrastructure,Nonsovereign,Georgia: Georgia Healthcare Group Social Financing,Approved Financing: USD30 million,Approved
2021,India,Energy,Nonsovereign,India: Enel Green 300 MW Solar Project - Rajasthan,Approved Financing: USD50 million,Approved
2020,India,Urban,Nonsovereign,India: HDFC Line of Credit for Affordable Housing,Approved Financing: USD200 million,Approved
2021,China,CRF-Public Health,Nonsovereign,China: FOSUN COVID-19 Response Project,Approved Financing: USD100 million,Approved
-,Kazakhstan,Transport,Sovereign,Kazakhstan: Reconstruction of A-27 Highway Atyrau-Dossor Section Project,Proposed Funding: USD238 million,Proposed
-,Türkiye,Water,Sovereign,Türkiye: Water Efficiency and Climate Resilience for Results Program (Results-Based Financing),Proposed Funding: USD500 million,Proposed
2020,Indonesia,Digital Infrastructure and Technology,Nonsovereign,Indonesia: Multifunctional Satellite PPP Project,Approved Financing: USD150 million,Approved
2022,Türkiye,Energy,Nonsovereign,Türkiye: Aklease Multisector Facility,Approved Financing: USD50 million,Approved
2025,Multicountry,Multi-sector,Nonsovereign,Multicountry: Keppel Private Credit Fund III,Approved Financing: USD125.5 million,Approved
2023,Uzbekistan,Multi-sector,Nonsovereign,"Uzbekistan: UzPSB Energy and Water Efficiency, and Renewables Bond Investment",Approved Financing: USD25 million,Approved
2025,Rwanda,Energy,Sovereign,Rwanda: Rwanda Energy Results- Based Financing Program,Approved Financing: USD100 million,Approved
2024,Uzbekistan,Multi-sector,Nonsovereign,Uzbekistan: Asakabank Energy Efficiency and Renewables Facility,Approved Financing: USD30 million,Approved
2020,Türkiye,CRF- Finance/Liquidity,Nonsovereign,Türkiye: Akbank COVID-19 Crisis Recovery Facility,Approved Financing: USD100 million,Approved
-,Papua New Guinea,Other,Sovereign,The Independent State of Papua New Guinea: Growth and Resilience Climate Policy- Based Financing (CPBF) with a Catastrophe Deferred Drawdown Option (Cat-DDO),Proposed Funding: USD112.5 million,Proposed
2023,China,Energy,Nonsovereign,China: Chongho Bridge Green Facility,Approved Financing: USD50 million,Approved
2023,Türkiye,Energy,Nonsovereign,Türkiye: Akbank Sustainable Energy Facility,Approved Financing: USD75 million,Approved
2024,India,Energy,Nonsovereign,India: SAEL Solar Power,Approved Financing: USD67 million,Approved
2024,Multicountry,Energy,Nonsovereign,Multicountry: Green Energy Capacity Expansion,Approved Financing: EUR100 million,Approved
2025,India,Urban,Nonsovereign,India: Green Affordable Housing Finance with IIFL Home Finance,Approved Financing: USD100 million,Approved
2024,India,Transport,Sovereign,India: Mumbai Metro Line 5,Approved Financing: USD200 million,Approved
2025,Indonesia,Urban,Sovereign,Indonesia: Solid Waste Management for Sustainable Urban Development Project,Approved Financing: USD150 million,Approved
2023,Romania,Energy,Nonsovereign,Romania: Banca Transilvania Green Mortgages Bond Investment,Approved Financing: EUR100 million,Approved
2017,Philippines,Water,Sovereign,Philippines: Metro Manila Flood Management,Approved Financing: USD207.6 million,Approved
2021,India,Water,Sovereign,India: Resilient Kerala Program for Results,Approved Financing: USD125 million,Approved
2024,India,Transport,Sovereign,"India: Manipur Urban Road, Drainage and Asset Management Improvement Project",Approved Financing: USD352.40 million,Approved
2022,India,Transport,Sovereign,India: Haryana Orbital Rail Corridor (HORC) Part A Project,Approved Financing: USD128 million,Approved
2023,India,Transport,Sovereign,India: Chennai Peripheral Ring Road (Sections 2 and 3),Approved Financing: USD378 million,Approved
2021,India,Transport,Sovereign,India: Chennai Metro Rail Phase 2 Project - Corridor 4,Approved Financing: USD356.67 million,Approved
2023,India,Transport,Sovereign,India: Chennai Metro Rail Phase 2 Project – Balance Corridor 5,Approved Financing: USD438.75 million,Approved
2023,Cambodia,Health Infrastructure,Sovereign,Cambodia: Cross- border Livestock Health and Value- chain Infrastructure Improvement Project,Approved Financing: USD33 million,Approved
2022,India,Transport,Nonsovereign,India: GreenCell Electric Bus Financing Project,Approved Financing: USD20.5 million,Terminated / Cancelled
2023,Uzbekistan,Energy,Nonsovereign,"Uzbekistan: Surkhandarya 1,560MW CCGT Power Plant",Approved Financing: EUR225 million,Approved
2025,Türkiye,Energy,Nonsovereign,"Türkiye: Enerjisa Enerji Sustainability Linked Corporate Loan for Network Modernization, Expansion, and Reconstruction",Approved Financing: USD100 million,Approved
2019,Nepal,Energy,Nonsovereign,Nepal: Upper Trishuli-1 Hydropower Project,Approved Financing: USD90 million,Approved
2022,Bangladesh,Multi-sector,Sovereign,Bangladesh: IDCOL Multi-Sector On- Lending Facility,Approved Financing: USD200 million,Approved
2022,Cambodia,CRF- Finance/Liquidity,Nonsovereign,Cambodia: Emergency and Crisis Response Facility,Approved Financing: USD100 million,Approved
2023,Uzbekistan,Economic Resilience / PBF,Sovereign,Uzbekistan: First Inclusive and Resilient Market Economy Development Policy Operation,Approved Financing: USD670 million,Approved
2019,Türkiye,Urban,Sovereign,Türkiye: Istanbul Seismic Risk Mitigation and Emergency Preparedness Project,Approved Financing: USD300 million,Approved
2023,Türkiye,Urban,Sovereign,Türkiye: Istanbul Seismic Mitigation and Emergency Preparedness Additional Financing Project,Approved Financing: EUR150 million,Approved
2021,Türkiye,Transport,Sovereign,Türkiye: Ispartakule- Cerkezkoy Rail Project (Previously: Halkali-Cerkezkoy Rail Project),Approved Financing: EUR300 million,Approved
2019,Sri Lanka,Other,Sovereign,Sri Lanka: Reduction of Landslide Vulnerability by Mitigation Measures (RLVMM) Project,Approved Financing: USD80 million,Approved
2018,Egypt,Water,Sovereign,"Egypt: Sustainable Rural Sanitation Services Program, Phase-2",Approved Financing: USD300 million,Approved
2022,Ecuador,CRF- Finance/Liquidity,Sovereign,Ecuador: CONAFIPS COVID- 19 Credit Line Project (Previously: Corporación Financiera Nacional COVID-19 Credit Line Project),Approved Financing: USD50 million,Approved
2025,Sri Lanka,Energy,Sovereign,Sri Lanka: Sampur - Kappalthurai Transmission Infrastructure Development Project,Approved Financing: USD22 million,Approved
2025,Türkiye,Transport,Nonsovereign,Türkiye: Antalya Alanya Motorway,Approved Financing: USD140 million,Approved
2025,Sri Lanka,Energy,Sovereign,Sri Lanka: Kerawalapitiya - Port L Second Transmission Line Project,Approved Financing: USD52 million,Approved
-,Bangladesh,Transport,Sovereign,Bangladesh: Railway Capacity Expansion (RACE) Project,Proposed Funding: USD164.57 million,Proposed
-,China,Energy,Sovereign,China: China Inner Mongolia Clean Energy Transition Project,Proposed Funding: USD200 million,Proposed
2025,Türkiye,Energy,Nonsovereign,Türkiye: Türkiye Rönesans Project Manzara Sustainable Bond Investment,Approved Financing: USD40million,Approved
2018,India,Water,Sovereign,India: Andhra Pradesh Urban Water Supply and Septage Management Improvement,Approved Financing: USD400 million,Approved
2024,India,Transport,Sovereign,India: Kochi Metro Rail Project - Phase II,Approved Financing: USD122.32 million,Approved
2019,India,Transport,Sovereign,India: Mumbai Urban Transport Project - Phase III (MUTP),Approved Financing: USD500 million,Approved
2023,India,Transport,Sovereign,India: Mumbai Urban Transport Project 3A – Station Improvement,Approved Financing: USD85 million,Approved
2019,Nepal,Energy,Sovereign,Nepal: Power Distribution System Upgrade and Expansion Project,Approved Financing: USD112.3 million,Approved
2021,India,Energy,Sovereign,India: Assam Intra- State Transmission System Enhancement Project,Approved Financing: USD304 million,Approved
-,Brazil,Multi-sector,Sovereign,"Brazil: Recovery and Trade- Facilitation Project in Cachoeirinha, Rio Grande do Sul",Proposed Funding: USD70.52 million,Proposed
-,Kazakhstan,Transport,Sovereign,Kazakhstan: Transforming Rail Connectivity in Kazakhstan (Middle Corridor Development),Proposed Funding: USD564 million,Proposed
2025,India,Energy,Sovereign,India: Maharashtra Climate Resilient Distributed Renewable Energy Access Program,"Approved Financing: USD1,100 million",Approved
-,Bangladesh,Water,Sovereign,Bangladesh: Bangladesh City Inclusive Sanitation Project,Proposed Funding: USD200 million,Proposed
2025,Cambodia,Water,Sovereign,Cambodia: Climate Adaptive Irrigation and Sustainable Agriculture for Resilience Project (CAISAR),Approved Financing: USD100 million,Approved
2023,Argentina,Energy,Sovereign,Argentina: Tierra del Fuego Energy Transition Support Program,Approved Financing: USD65 million,Terminated / Cancelled
2024,Multicountry,Multi-sector,Nonsovereign,Multicountry: Patria Infrastructure Fund V,Approved Financing: USD100 million,Approved
-,Indonesia,Energy,Nonsovereign,Indonesia: Proyek Hijaunesia Staple Financing – Banyuwangi 100 MW Solar PV Project,Proposed Funding: USD20 million,Proposed
-,Indonesia,Energy,Nonsovereign,Indonesia: Proyek Hijaunesia Staple Financing – Gajahmungkur 100 MW Floating Solar PV Project,Proposed Funding: USD19 million,Proposed
-,Türkiye,Transport,Sovereign,Türkiye: Istanbul North Rail Crossing Project - Phase I,"Proposed Funding: USD1,500 million",Proposed
2025,Türkiye,Multi-sector,Sovereign,Türkiye: TKYB Climate and Digital Transition On- Lending Facility,Approved Financing: USD200 million,Approved
2025,Benin,Transport,Sovereign,Benin: Grand Nokoué Sustainable Urban Mobility Project,Approved Financing: USD200 million,Approved
2023,Brazil,Energy,Nonsovereign,Brazil: BTG Green On-Lending,Approved Financing: USD160 million,Approved
2025,Georgia,Multi-sector,Nonsovereign,Georgia: TBC Bank Social Infrastructure On-Lending Facility,Approved Financing: USD100 million,Approved
2024,Thailand,Transport,Sovereign,Thailand: U-Tapao International Airport Expansion Project (The Construction of the U-Tapao International Airport Second Runway and Taxiway),Approved Financing: USD423.05 million,Approved
-,China,Digital Infrastructure and Technology,Nonsovereign,China: Project Forest,Proposed Funding: USD40 million,Proposed
2022,Pakistan,CRF-Economic Resilience/PBF,Sovereign,Pakistan: Building Resilience with Countercyclical Expenditures (BRACE) Program,Approved Financing: USD500 million,Approved
2023,Uzbekistan,Energy,Nonsovereign,"Uzbekistan: Masdar 897MW Solar PV Portfolio (Samarkand, Jizzakh and Sherabad solar PV plants)",Approved Financing: USD145 million,Approved
2023,Bangladesh,CRF-Economic Resilience/PBF,Sovereign,Bangladesh: Bangladesh Sustainable Economic Recovery Program (Subprogram 2),Approved Financing: USD400 million,Approved
2024,Lao PDR,Energy,Nonsovereign,Lao PDR: Xekaman Cross-border Hydropower Projects,Approved Financing: USD40 million,Terminated / Cancelled
2023,Indonesia,Health Infrastructure,Sovereign,Indonesia: Modernization of the Health System,Approved Financing: USD999 million,Approved
2024,Philippines,Transport,Sovereign,Philippines: Bataan- Cavite Interlink Bridge Project and Tranche 1,Approved Financing: USD350 million,Approved
2025,Uzbekistan,Digital Infrastructure and Technology,Nonsovereign,Uzbekistan: Uzbekistan Telecom,Approved Financing: USD100 Million,Approved
2024,Lao PDR,Transport,Sovereign,Lao PDR: National Road 13 South Extension Improvement and Maintenance Project,Approved Financing: USD40 million,Approved
2025,Bangladesh,Urban,Nonsovereign,Bangladesh: North Dhaka Waste to Energy Project,Approved Financing: USD100 million,Approved
2025,Kazakhstan,Transport,Nonsovereign,Kazakhstan: Almaty Railway Bypass Project,Approved Financing: USD150 million,Approved
2022,India,Energy,Sovereign,India: West Bengal Electricity Distribution Grid Modernization Project,Approved Financing: USD135 million,Approved
2021,India,Education Infrastructure,Sovereign,India: Gujarat Education Infrastructure and Technology Modernization Program,Approved Financing: USD250 million,Approved
2020,Kyrgyzstan,CRF- Finance/Liquidity,Sovereign,Kyrgyzstan: Kyrgyz Emergency Support for Private and Financial Sector Project,Approved Financing: USD50 million,Approved
2020,Lao PDR,Transport,Sovereign,Lao PDR: Climate Resilience Improvement of National Road 13 South Project (Section 3),Approved Financing: USD30 million,Approved
2020,Türkiye,CRF-Public Health,Sovereign,Türkiye: COVID-19 Medical Emergency Response (MER) Project,Approved Financing: USD82.6 million,Approved
2024,Türkiye,Transport,Sovereign,Türkiye: Türkiye Emergency Road Rehabilitation and Reconstruction Project,Approved Financing: USD200 million,Approved
-,Kazakhstan,Energy,Sovereign,Kazakhstan: Inclusive and Sustainable Economic Growth Development Policy Operation,Proposed Funding: USD300 million,Proposed
2025,Brazil,Energy,Nonsovereign,Brazil: Sicredi Green Loan,Approved Financing: USD100 million,Approved
2025,Türkiye,Multi-sector,Sovereign,"Türkiye: TSKB Sustainable Energy and Infrastructure Facility, Phase 3",Approved Financing: USD200 million,Approved
2020,Bangladesh,Energy,Sovereign,Bangladesh: Dhaka and West Zone Transmission Grid Expansion Project,Approved Financing: USD200 million,Approved
